Date,rmkt
2006-01-31,0.03257751157029953
2006-02-28,-0.0005657955050972774
2006-03-31,0.10931874012576404
2006-04-30,0.13961520072329026
2006-05-31,0.018833247927006136
2006-06-30,-0.03556849298618636
2006-07-31,0.02846404600715946
2006-08-31,0.05654399221876605
2006-09-30,0.04882899014666986
2006-10-31,0.14216377023092308
2006-11-30,0.2744667558585683
2006-12-31,0.04143596044144493
2007-01-31,0.03400095050937413
2007-02-28,0.10513788172487204
2007-03-31,0.20643611509451998
2007-04-30,0.06986795984453908
2007-05-31,-0.0703102843188752
2007-06-30,0.17021196517559334
2007-07-31,0.1672528693278803
2007-08-31,0.06389859277850984
2007-09-30,0.07248605061668556
2007-10-31,-0.18186902082997314
2007-11-30,0.08000881191404452
2007-12-31,-0.16690286210217242
2008-01-31,-0.00795048427742806
2008-02-29,-0.20140770929918161
2008-03-31,0.06346423483531494
2008-04-30,-0.07033428126546493
2008-05-31,-0.2030815860436217
2008-06-30,0.014478260970433254
2008-07-31,-0.13630645304998878
2008-08-31,-0.04320776877075627
2008-09-30,-0.24631697696059718
2008-10-31,0.08235258397079837
2008-11-30,-0.026909008116248745
2008-12-31,0.093283972583867
2009-01-31,0.04631388992352092
2009-02-28,0.1394054079524465
2009-03-31,0.04397254101564907
2009-04-30,0.06270696561324685
2009-05-31,0.12398056058515938
2009-06-30,0.15297214126216718
2009-07-31,-0.21814283913214016
2009-08-31,0.04186341021996354
2009-09-30,0.07786567191317273
2009-10-31,0.06657651911300078
2009-11-30,0.025611950165163266
2009-12-31,-0.08783482519504904
2010-01-31,0.020958515665453037
2010-02-28,0.01872966273487875
2010-03-31,-0.07670821602441291
2010-04-30,-0.09700550849407252
2010-05-31,-0.07475500191665974
2010-06-30,0.09970638425916678
2010-07-31,0.0004910576595182903
2010-08-31,0.006389220648864269
2010-09-30,0.12169375986835296
2010-10-31,-0.05326043732360497
2010-11-30,-0.0042919246318712245
2010-12-31,-0.006190290755000771
2011-01-31,0.04097865368149911
2011-02-28,0.007937240951981561
2011-03-31,-0.00566955069073416
2011-04-30,-0.057715098135976195
2011-05-31,0.006781189829087264
2011-06-30,-0.02184839425381957
2011-07-31,-0.049741819339142124
2011-08-31,-0.08106487127733675
2011-09-30,0.04621487285841841
2011-10-31,-0.05462815253722275
2011-11-30,-0.05742532903437492
2011-12-31,0.04237173558511387
2012-01-31,0.05926736198410931
2012-02-29,-0.0682313598871146
2012-03-31,0.05901031248179289
2012-04-30,-0.010049606176473325
2012-05-31,-0.06188426693507143
2012-06-30,-0.05472871562629278
2012-07-31,-0.026674321756808395
2012-08-31,0.018874997764303902
2012-09-30,-0.008287469976411832
2012-10-31,-0.042903863192124025
2012-11-30,0.14595652408175575
2012-12-31,0.05125060951020988
2013-01-31,-0.008312617462289507
2013-02-28,-0.054519912288279126
2013-03-31,-0.026248963017945215
2013-04-30,0.05633049230959619
2013-05-31,-0.13969817378041116
2013-06-30,0.0073731057325996385
2013-07-31,0.05245420049627758
2013-08-31,0.03635322647319539
2013-09-30,-0.015198214344252947
2013-10-31,0.03683665313847362
2013-11-30,-0.04707304437161475
2013-12-31,-0.03917574684615732
2014-01-31,0.011420583444651244
2014-02-28,-0.011183168453780312
2014-03-31,-0.003417094103606577
2014-04-30,0.0063434021539254815
2014-05-31,0.0044697991197364395
2014-06-30,0.07480988854875958
2014-07-31,0.007103111050193123
2014-08-31,0.06615107759591288
2014-09-30,0.023820200999502994
2014-10-31,0.10856266321290242
2014-11-30,0.2056558799902013
2014-12-31,-0.0075166592612088134
2015-01-31,0.031130417417288836
2015-02-28,0.13219211356352867
2015-03-31,0.18510527447865655
2015-04-30,0.03829414119196706
2015-05-31,-0.07253697569850748
2015-06-30,-0.1434333007867461
2015-07-31,-0.12493837720441014
2015-08-31,-0.04778719374059104
2015-09-30,0.10802610100885368
2015-10-31,0.01857882045215553
2015-11-30,0.027217948157429728
2015-12-31,-0.22648787578840646
2016-01-31,-0.018125764165658143
2016-02-29,0.11753664544891262
2016-03-31,-0.021835192939942627
2016-04-30,-0.007387887789121694
2016-05-31,0.004453788356867827
2016-06-30,0.016976055833554105
2016-07-31,0.03562932969433952
2016-08-31,-0.02618321907497534
2016-09-30,0.03187971200420425
2016-10-31,0.04823169836250951
2016-11-30,-0.04504475201167901
2016-12-31,0.017891606975403818
2017-01-31,0.026135661792663134
2017-02-28,-0.005928617401024128
2017-03-31,-0.021056839101302738
2017-04-30,-0.011880838099106117
2017-05-31,0.02414011133022731
2017-06-30,0.02524758566740548
2017-07-31,0.026819807340163315
2017-08-31,-0.003530977101496857
2017-09-30,0.013257593292426817
2017-10-31,-0.022442197636988626
2017-11-30,-0.003019385448159273
2017-12-31,0.05251038724800372
2018-01-31,-0.06361266062782989
2018-02-28,-0.02776914932622554
2018-03-31,-0.027348645225867108
2018-04-30,0.004296298197313142
2018-05-31,-0.08013510778636468
2018-06-30,0.010178663783938058
2018-07-31,-0.05254861379535003
2018-08-31,0.03526285575864607
2018-09-30,-0.0774689886425095
2018-10-31,-0.0056074482325718655
2018-11-30,-0.03643166285232513
2018-12-31,0.036359184798665733
2019-01-31,0.13788823724612143
2019-02-28,0.05093719585713208
2019-03-31,-0.0040180904117737
2019-04-30,-0.058357139973686745
2019-05-31,0.027661363427908592
2019-06-30,-0.015565565631197043
2019-07-31,-0.01577829892384508
2019-08-31,0.006565618672041307
2019-09-30,0.008216370588129518
2019-10-31,-0.01948750690772938
2019-11-30,0.06202830248826263
2019-12-31,-0.02412883761450535
2020-01-31,-0.03232763764738422
2020-02-29,-0.04513692258465085
2020-03-31,0.039917934966514634
2020-04-30,-0.0027030542994150863
2020-05-31,0.04639085252965147
2020-06-30,0.10900118402728776
2020-07-31,0.02588239129551284
2020-08-31,-0.05230942912912695
2020-09-30,0.002013937943611932
2020-10-31,0.051860859513100266
2020-11-30,0.023972533963825038
2020-12-31,0.0028792977437792633
2021-01-31,0.007467835303464065
2021-02-28,-0.019141816236783016
2021-03-31,0.0014382117600126865
2021-04-30,0.04891984814927586
2021-05-31,-0.00671557564363201
2021-06-30,-0.05397634394786244
2021-07-31,0.04314521550546169
2021-08-31,0.006837017802038492
2021-09-30,-0.005837679942503837
2021-10-31,0.004665412471726471
2021-11-30,0.021294186691006578
2021-12-31,-0.07647167841194902
2022-01-31,0.03000800815893845
2022-02-28,-0.06068494844947914
2022-03-31,-0.06307726943548053
2022-04-30,0.04573912898559529
2022-05-31,0.06659182536539343
2022-06-30,-0.04277622150763738
2022-07-31,-0.0157074479010596
2022-08-31,-0.05550975471496
2022-09-30,-0.04328473403202049
2022-10-31,0.08911764006056866
2022-11-30,-0.019699580620812562
2022-12-31,0.053867240563542085
2023-01-31,0.007353382290391286
2023-02-28,-0.002058171483471316
2023-03-31,0.01540240354149569
2023-04-30,-0.03572082925547049
2023-05-31,-0.0007801382886538644
2023-06-30,0.027788354634368462
2023-07-31,-0.052007922789890304
2023-08-31,-0.0030144702711348836
2023-09-30,-0.02948234552065676
2023-10-31,0.0036114364499599816
2023-11-30,-0.01806730804950807
2023-12-31,-0.0626524476062782
2024-01-31,0.08126910311626978
2024-02-29,0.008621764611575156
2024-03-31,0.020932082699801402
2024-04-30,-0.005801281287638016
2024-05-31,-0.03868388287942992
2024-06-30,-0.009656272504556584
2024-07-31,-0.032848981433758695
2024-08-31,0.17390771406500538
2024-09-30,-0.016985807123102603
2024-10-31,0.01421786060444874
2024-11-30,0.007607761638685595
